Q6 | 29 | Маркер уничтожен из конечной очереди | 
Q6 | 30 | Позиция маркирована | Маркер #14
P6 | 30 | Маркер покинул позицию | Маркер #14
P5 | 30 | Маркер покинул позицию | Маркер #14
Q2 | 30 | Позиция маркирована | Маркер #15
Q5 | 30 | Позиция маркирована | Маркер #15
Q6 | 30 | Маркер уничтожен из конечной очереди | 
P6 | 31 | Позиция маркирована | Маркер #15
P5 | 31 | Позиция маркирована | Маркер #15
Q6 | 31 | Маркер уничтожен из конечной очереди | 
Q6 | 32 | Позиция маркирована | Маркер #15
P6 | 32 | Маркер покинул позицию | Маркер #15
P5 | 32 | Маркер покинул позицию | Маркер #15
Q2 | 32 | Позиция маркирована | Маркер #16
Q5 | 32 | Позиция маркирована | Маркер #16
Q6 | 32 | Маркер уничтожен из конечной очереди | 
P6 | 33 | Позиция маркирована | Маркер #16
P5 | 33 | Позиция маркирована | Маркер #16
Q6 | 33 | Маркер уничтожен из конечной очереди | 
Q6 | 34 | Позиция маркирована | Маркер #16
P6 | 34 | Маркер покинул позицию | Маркер #16
P5 | 34 | Маркер покинул позицию | Маркер #16
Q2 | 34 | Позиция маркирована | Маркер #17
Q5 | 34 | Позиция маркирована | Маркер #17
Q6 | 34 | Маркер уничтожен из конечной очереди | 
P6 | 35 | Позиция маркирована | Маркер #17
P5 | 35 | Позиция маркирована | Маркер #17
Q6 | 35 | Маркер уничтожен из конечной очереди | 
Q6 | 36 | Позиция маркирована | Маркер #17
P6 | 36 | Маркер покинул позицию | Маркер #17
P5 | 36 | Маркер покинул позицию | Маркер #17
Q2 | 36 | Позиция маркирована | Маркер #18
Q5 | 36 | Позиция маркирована | Маркер #18
Q6 | 36 | Маркер уничтожен из конечной очереди | 
P6 | 37 | Позиция маркирована | Маркер #18
P5 | 37 | Позиция маркирована | Маркер #18
Q6 | 37 | Маркер уничтожен из конечной очереди | 
Q6 | 38 | Позиция маркирована | Маркер #18
P6 | 38 | Маркер покинул позицию | Маркер #18
P5 | 38 | Маркер покинул позицию | Маркер #18
Q2 | 38 | Позиция маркирована | Маркер #19
Q5 | 38 | Позиция маркирована | Маркер #19
Q6 | 38 | Маркер уничтожен из конечной очереди | 
P6 | 39 | Позиция маркирована | Маркер #19
P5 | 39 | Позиция маркирована | Маркер #19
Q6 | 39 | Маркер уничтожен из конечной очереди | 
Q6 | 40 | Позиция маркирована | Маркер #19
P6 | 40 | Маркер покинул позицию | Маркер #19
P5 | 40 | Маркер покинул позицию | Маркер #19
Q2 | 40 | Позиция маркирована | Маркер #20
Q5 | 40 | Позиция маркирована | Маркер #20
Q6 | 40 | Маркер уничтожен из конечной очереди | 
P6 | 41 | Позиция маркирована | Маркер #20
P5 | 41 | Позиция маркирована | Маркер #20
Q6 | 41 | Маркер уничтожен из конечной очереди | 
Q6 | 42 | Позиция маркирована | Маркер #20
P6 | 42 | Маркер покинул позицию | Маркер #20
P5 | 42 | Маркер покинул позицию | Маркер #20
Q2 | 42 | Позиция маркирована | Маркер #21
Q5 | 42 | Позиция маркирована | Маркер #21
Q6 | 42 | Маркер уничтожен из конечной очереди | 
P6 | 43 | Позиция маркирована | Маркер #21
