Log started 18.06.2017-18_09_25
####################################################
Q3 | 0 | Маркер уничтожен из конечной очереди | 
Q4 | 0 | Маркер уничтожен из конечной очереди | 
G1 | 1 | Сгенерирован маркер | Маркер #1
Q3 | 1 | Маркер уничтожен из конечной очереди | 
Q4 | 1 | Маркер уничтожен из конечной очереди | 
T1 - T | 1 | Маркер иниц. срабатывание перехода | Маркер #1
G1 | 2 | Маркер покинул генератор | Маркер #1
Q2 | 2 | Позиция маркирована | Маркер #1
T1 - T | 2 | Переход завершил работу | Маркер #1
T2 - T | 2 | Маркер иниц. срабатывание перехода | Маркер #1
T3 - T | 2 | Маркер иниц. срабатывание перехода | Маркер #1
Q3 | 2 | Маркер уничтожен из конечной очереди | 
Q4 | 2 | Маркер уничтожен из конечной очереди | 
G1 | 3 | Сгенерирован маркер | Маркер #2
Q2 | 3 | Маркер покинул очередь | Маркер #1
Q3 | 3 | Позиция маркирована | Маркер #1
T3 - T | 3 | Переход завершил работу | Маркер #1
Q3 | 3 | Маркер уничтожен из конечной очереди | 
Q4 | 3 | Маркер уничтожен из конечной очереди | 
T1 - T | 3 | Маркер иниц. срабатывание перехода | Маркер #2
