T2 - T | 54 | Маркер иниц. срабатывание перехода | Маркер #27
T2 - T | 55 | Переход завершил работу | Маркер #27
T1 - T | 55 | Маркер иниц. срабатывание перехода | Маркер #28
T1 - T | 56 | Переход завершил работу | Маркер #28
T2 - T | 56 | Маркер иниц. срабатывание перехода | Маркер #28
T2 - T | 57 | Переход завершил работу | Маркер #28
T1 - T | 57 | Маркер иниц. срабатывание перехода | Маркер #29
T1 - T | 58 | Переход завершил работу | Маркер #29
T2 - T | 58 | Маркер иниц. срабатывание перехода | Маркер #29
T2 - T | 59 | Переход завершил работу | Маркер #29
T1 - T | 59 | Маркер иниц. срабатывание перехода | Маркер #30
T1 - T | 60 | Переход завершил работу | Маркер #30
T2 - T | 60 | Маркер иниц. срабатывание перехода | Маркер #30
T2 - T | 61 | Переход завершил работу | Маркер #30
T1 - T | 61 | Маркер иниц. срабатывание перехода | Маркер #31
T1 - T | 62 | Переход завершил работу | Маркер #31
T2 - T | 62 | Маркер иниц. срабатывание перехода | Маркер #31
T2 - T | 63 | Переход завершил работу | Маркер #31
T1 - T | 63 | Маркер иниц. срабатывание перехода | Маркер #32
